9,1
8,1
6,1
7,1
7,1
9,1
10,1
12,1
9,1
4,1
7,1
10,1
5,1
12,1
10,1
11,1
9,1
8,1
5,1
11,1
9,1
3,1
7,1
11,1
5,1
9,1
1,1
10,1
3,1
7,1
1,1
11,1
12,1
9,1
6,1
12,1
11,1
6,1
6,1
7,1
7,1
11,1
8,1
6,1
4,1
11,1
11,1
7,1
11,1
10,1
9,2
7,2
11,2
1,2
4,2
5,2
1,2
12,2
7,2
2,2
9,2
8,2
10,2
10,2
6,2
12,2
5,2
4,2
11,2
5,2
9,2
3,2
9,2
2,2
11,2
6,2
3,2
10,2
6,2
6,2
9,2
8,2
8,2
9,2
5,2
8,2
6,2
4,2
9,2
4,2
5,3
3,3
11,3
9,3
8,3
5,3
1,3
2,3
4,3
4,3
12,3
3,3
12,3
10,3
4,3
1,3
9,3
2,3
8,3
4,3
5,3
2,3
1,3
1,3
8,3
1,3
6,3
10,3
8,3
8,3
4,4
5,4
5,4
12,4
10,4
12,4
4,4
3,4
1,4
8,4
11,4
1,4
10,4
10,4
3,4
3,4
10,4
8,4
10,4
12,4
8,5
12,5
3,5
5,5
1,5
3,5
6,5
4,5
5,5
12,5
9,8
11,8
2,8
6,8
12,8
6,8
5,8
6,8
12,8
1,8
1,8
1,8
3,8
5,8
10,8
4,10
2,10
2,10
5,10
4,10
9,10
11,10
12,10
9,10
9,10
7,10
11,10
7,10
5,10
4,10
4,9
8,9
8,9
4,9
8,9
2,11
1,11
5,11
11,11
4,11
